text,category
['점심'],food
"['점심', '결정']",food
[],food
['오늘'],food
"['뭔가', '자극']",food
"['매우', '메뉴']",food
['돈까스'],food
"['그림', '찾기']",game
"['그림', '찾기']",game
"['넷마블', '그림', '찾기', '승률', '프로', '습니']",game
"['그림', '찾기', '정상', '그림', '바로']",game
['오우'],game
"['매직아이', '슈슉하']",game
"['오늘', '국밥']",food
"['일주일', '한번', '국밥']",food
['오늘'],food
"['어제', '아침', '생해', '지각']",food
"['월요일', '물회']",food
"['물회', '김치', '수육']",food
['물회'],food
"['내일', '김치']",food
"['수요일', '수육']",food
"['메뉴', '체계']",food
"['금요일', '국밥', '고정']",food
"['학원', '동안', '서면', '국밥']",food
"['원래', '국밥', '일주일', '한번']",food
['물회'],food
"['물회', '생각', '주말', '동안', '심장', '도키', '도키', '햇습니']",food
"['목요일', '짱깨']",food
"['일주일', '점심', '뚝딱']",food
"['짱깨', '사람']",food
['탕수육'],food
['물회'],food
[],food
"['전부', '그냥', '횟집']",food
"['물회', '전문점']",food
"['저번', '두루치기', '곳도', '김치', '판다']",food
"['우리', '저번', '던곳', '양식']",food
['카츠'],food
['일식'],food
['카츠'],food
"['갑자기', '막국수', '존나']",food
"['내일', '막국수']",food
"['막국수', '멀리', '있슴다']",food
['가시'],food
[],food
['밀면'],food
"['밀면', '괜춘']",food
"['동오', '어디']",food
"['오늘', '밀면']",food
[],food
['여기'],food
"['오늘', '저녁', '비빔면']",food
['사케'],food
['도리'],food
['장어'],food
['규동'],food
[],food
[],food
['국밥'],food
['국밥'],food
"['오늘', '국밥']",food
['국밥집'],food
"['그냥', '기름']",food
['밀면'],food
"['오늘', '돈까스']",food
['유가'],food
"['진짜', '볶음밥']",food
['마카로니'],food
"['어제', '토트넘', '챔스', '거봄']",sports
"['그거', '손흥민', '원더']",sports
"['흥민', '퇴장', '막판', '분위기', '뻔햇']",sports
"['브라이언', '드리블', '케인']",sports
['실축'],sports
"['기린', '드리블']",sports
"['기린', '드리블']",sports
[],food
"['아침', '먹었슴다']",food
['점심'],food
['돈까스'],food
"['서면', '음식', '권태기']",food
"['오늘', '버거킹']",food
"['버거킹', '회원', '등급']",food
"['오늘', '각자']",food
['버거킹'],food
"['개월', '만원', '버거킹', '바치']",food
['연정'],food
[],food
[],food
['칼국수'],food
[],food
"['오늘', '돼지', '불고기']",food
['소세지'],food
"['밀면', '연정', '개중', '하나']",food
[],food
['밀면'],food
['연정'],food
['밀면'],food
"['점심', '경찰서', '국밥']",food
"['오늘', '연정', '가시']",food
"['커피', '벌써']",food
[],food
['진성'],food
['연정'],food
"['서브웨이', '기회', '주마']",food
['서브웨이'],food
"['오늘', '서브웨이', '간다']",food
['에펙'],game
['점심식사'],food
['먹음'],food
[],food
[],food
['귀신'],food
['이디야'],food
"['어디', '이디야']",food
[],food
"['바로', '국밥집']",food
"['초밥', '각인']",food
"['아이스크림', '정정']",food
"['디저트', '맛집']",food
"['여러분', '축구']",sports
"['한국', '초반']",sports
"['점프', '해도']",sports
['나상호'],sports
"['누레스', '왤케']",sports
"['의조', '왤케']",sports
['황의조'],sports
['잔디'],sports
"['가다가', '그냥']",sports
"['흥분', '햇너']",sports
['골키퍼'],sports
['압박'],sports
['의족'],sports
"['의조', '대가리', '박아']",sports
"['압박', '왤케']",sports
['압박'],sports
"['슬슬', '선수']",sports
"['우루과이', '별거']",sports
"['정우성', '수비']",sports
['정우영'],sports
"['성재', '손흥민', '보고', '캡틴', '조로']",sports
['우리'],sports
[],sports
['심판'],sports
"['안정환', '단어', '자동', '지랄']",sports
"['김민재', '슛각']",sports
"['에이스', '견제', '지리']",sports
"['우루과이', '중원']",sports
"['새끼', '한국', '보고']",sports
['수비'],sports
['노쇠'],sports
[],sports
['공간'],sports
['라인'],sports
"['우리', '중원', '재미']",sports
"['해도', '중원', '패스', '륜데']",sports
['즈음'],sports
['이강인'],sports
"['여기', '강인']",sports
['이강인'],sports
"['이승우', '방금', '손흥민']",sports
['흥민'],sports
"['역시', '누녜스', '손흥민']",sports
['축질알'],sports
[],sports
['해설'],sports
[],sports
"['배성재', '박지성', '이승우']",sports
['심판'],sports
['손흥민'],sports
"['강인', '졸라', '느리넼']",sports
"['역시', '한국', '건가']",sports
"['바로', '런함']",sports
[],sports
"['귀신', '포루투', '갈전', '이기', '시나리오']",sports
"['이강인', '신인']",sports
['난타'],sports
['화장실'],sports
"['진짜', '왜케']",sports
"['레알', '모래주머니', '차고', '달리', '분명']",sports
"['시바', '흥민', '하나']",sports
[],sports
"['가나', '침대']",sports
[],sports
"['가나', '침대', '침대', '축구']",sports
"['침대', '축구', '거임']",sports
['코너킥'],sports
['경기'],sports
['종료'],sports
['어시'],sports
[],sports
"['우르', '이도']",sports
['호좆'],sports
"['우리', '이기', '간다']",sports
['저걸'],sports
['호좆'],sports
[],sports
"['두도', '나이']",sports
"['흥민', '시바', '슛좀']",sports
['좆둨'],sports
[],sports
[],sports
"['김민재', '수비']",sports
[],sports
"['우리나라', '수비수']",sports
['우리형'],sports
"['레알', '이기', '다시', '우리형']",sports
"['골키퍼', '지리']",sports
"['김승규', '바로', '자동', '진행']",sports
"['이번', '경기']",sports
"['호좆', '표정', '거만']",sports
['은혜'],sports
"['후반', '기대']",sports
['승패'],sports
['호로'],sports
['호좆두'],sports
"['지금', '우리형', '어시']",sports
"['김민재', '대신', '슈퍼세이브']",sports
"['정도', '우리']",sports
['거의'],sports
['오늘'],sports
['언제'],sports
[],sports
"['조땠다', '우리']",sports
['엿는데'],sports
[],sports
['다시'],sports
"['상대', '선수', '마음대로', '교체', '반칙']",sports
"['흥민', '시바', '민재']",sports
"['피온', '국룰임']",sports
"['존나', '압박']",sports
['흥민'],sports
[],sports
['황희'],sports
"['월드컵', '노쇼']",sports
[],sports
['제발'],sports
[],sports
[],sports
['황희'],sports
['우루과이'],sports
['거저'],sports
"['악수', '임해']",sports
"['우르', '이로', '출격']",sports
"['추가', '시간']",sports
"['우르', '가나']",sports
"['좆날', '표정']",sports
"['시바', '가나']",sports
"['골차', '우리']",sports
"['역시', '이웃']",sports
['인정'],sports
"['포루투', '이노']",sports
"['경우', '수가']",sports
"['전적', '전승']",sports
['포르투칼'],sports
"['이제', '브라질']",sports
['메시'],sports
"['식이', '축구']",sports
['일본'],sports
"['크로스', '퀄리티']",sports
['기술'],sports
"['존나', '압박']",sports
"['페인', '중간', '중간']",sports
"['빡빡이', '초반']",sports
['일본'],sports
"['한일전', '성사', '레전드']",sports
"['무슨', '슈팅']",sports
"['저걸', '헤더']",sports
"['애초', '저번', '월드컵']",sports
"['경기', '개꿀']",sports
"['생각', '라키티치', '어디']",sports
['부상'],sports
[],sports
"['팀팬', '진짜', '절깃쫄깃']",sports
"['진짜', '브라질', '생각']",sports
"['일본', '뭔가']",sports
[],sports
"['이제', '브라질']",sports
"['일본', '부담']",sports
"['골키퍼', '실화']",sports
"['일본', '왤케못차']",sports
['아차'],sports
"['왜케', '땅볼']",sports
['시발'],sports
"['진짜', '같이찻']",sports
['후리'],sports
"['응원', '해댜겠다']",sports
"['축구', '언제']",sports
['드가자'],sports
"['방금', '동네', '풋살', '수비']",sports
"['김승규', '락다']",sports
"['방금', '황희', '베컴']",sports
['진짜'],sports
['그게'],sports
['진짜'],sports
['브라질'],sports
"['브라질', '패배']",sports
[],sports
['라커룸'],sports
"['프랑스', '잉글랜드']",sports
"['축구', '개꿀잼']",sports
"['제이비', '소프', '자꾸', '슈룹', '의성군', '보임']",movie
"['국판', '셜록홈즈', '해리포터', '요기']",movie
"['엠흑', '보기']",movie
"['여주', '매력']",movie
"['흑인', '악당', '표현', '고소', '작품']",movie
"['반쪽', '드라마', '기대', '이하']",movie
